"filename", "language", "PHP", "Markdown", "JSON", "XML", "JavaScript", "CSS", "SCSS", "Less", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.jqueryui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.semanticui.js", "JavaScript", 0, 0, 0, 0, 166, 0, 0, 0, 0, 27, 36, 229
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.semanticui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\jquery.dataTables.js", "JavaScript", 0, 0, 0, 0, 6733, 0, 0, 0, 0, 6892, 2062, 15687
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\jquery.dataTables.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\JSZip-2.5.0\jszip.js", "JavaScript", 0, 0, 0, 0, 5349, 0, 0, 0, 0, 2717, 1089, 9155
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\JSZip-2.5.0\jszip.min.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 11, 0, 14
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap.css", "CSS", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 2, 186
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap4.css", "CSS", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 2, 186
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap4.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap5.css", "CSS", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 3, 191
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Responsive-2.4.1\css\responsive.bootstrap5.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
